,X,Channel,Activity,Genotype,Sex,Age,Rep
95,920,adj_Monitor50_ch26,1522.4,W422X,F,W0,R3
96,229,adj_Monitor1_ch18,1521.2,Y160C,F,W0,R3
97,38,adj_Monitor11_ch16,1518.4,W422X,F,W0,R4
98,978,adj_Monitor6_ch22,1513.4,KO,F,W0,R4
99,558,adj_Monitor31_ch9,1513.2,W422X,M,W0,R4
100,197,adj_Monitor19_ch17,1511.6,KO,M,W0,R2
101,847,adj_Monitor45_ch17,1503.4,KO,F,W0,R3
102,176,adj_Monitor18_ch25,1502.2,KO,F,W0,R2
103,631,adj_Monitor34_ch2,1501.2,KO,M,W0,R1
104,688,adj_Monitor38_ch16,1499.8,KO,M,W0,R4
105,838,adj_Monitor42_ch9,1499.6,W422X,F,W0,R2
106,849,adj_Monitor45_ch19,1498.8,KO,F,W0,R3
107,503,adj_Monitor30_ch14,1496.4,Y160C,F,W0,R1
108,448,adj_Monitor28_ch2,1493.8,W422X,M,W0,R1
109,863,adj_Monitor45_ch32,1493.4,KO,F,W0,R3
110,733,adj_Monitor39_ch3,1487.4,W422X,M,W0,R2
111,539,adj_Monitor31_ch2,1486.6,W422X,M,W0,R4
112,985,adj_Monitor6_ch29,1485.2,KO,F,W0,R4
113,473,adj_Monitor2_ch16,1482.8,WG2,M,W0,R2
114,911,adj_Monitor50_ch18,1482,W422X,F,W0,R3
115,963,adj_Monitor5_ch8,1481,WG2,F,W0,R2
116,557,adj_Monitor31_ch8,1476.2,W422X,M,W0,R4
117,100,adj_Monitor15_ch14,1474.4,Y160C,F,W0,R2
118,172,adj_Monitor18_ch21,1472.6,KO,F,W0,R2
119,370,adj_Monitor24_ch32,1466.4,WG2,F,W0,R1
120,855,adj_Monitor45_ch25,1466.4,KO,F,W0,R3
121,280,adj_Monitor20_ch8,1464.4,Y160C,M,W0,R1
122,474,adj_Monitor2_ch17,1464.2,WG2,M,W0,R2
123,822,adj_Monitor42_ch23,1463.8,W422X,F,W0,R2
124,88,adj_Monitor14_ch32,1457.6,W422X,F,W0,R1
125,354,adj_Monitor24_ch18,1457.6,WG2,F,W0,R1
126,686,adj_Monitor38_ch14,1457.4,KO,M,W0,R4
127,719,adj_Monitor39_ch17,1455.6,W422X,M,W0,R2
128,35,adj_Monitor11_ch13,1453.8,W422X,F,W0,R4
129,13,adj_Monitor10_ch21,1449.6,Y160C,F,W0,R4
130,516,adj_Monitor30_ch27,1448.4,Y160C,F,W0,R1
131,0,adj_Monitor10_ch1,1447.8,Y160C,F,W0,R4
132,836,adj_Monitor42_ch7,1447,W422X,F,W0,R2
133,36,adj_Monitor11_ch14,1446.8,W422X,F,W0,R4
134,82,adj_Monitor14_ch27,1445.2,W422X,F,W0,R1
135,246,adj_Monitor1_ch4,1444,Y160C,F,W0,R3
136,87,adj_Monitor14_ch31,1443.4,W422X,F,W0,R1
137,312,adj_Monitor21_ch8,1440.4,WG2,M,W0,R3
